timestamp,service,cpu_usage,memory_usage,latency_ms,request_rate,error_rate
2026-03-01T10:00:00Z,frontend,29.36,54.01,61.6,173.4,0.006
2026-03-01T10:00:00Z,api_gateway,21.45,52.32,55.06,153.09,0.0071
2026-03-01T10:00:00Z,order_service,40.81,39.25,34.09,195.64,0.0018
2026-03-01T10:00:00Z,inventory_service,30.8,40.82,55.59,193.82,0.0014
2026-03-01T10:00:00Z,payment_service,31.4,50.7,34.98,238.86,0.0051
2026-03-01T10:00:00Z,database,35.19,38.41,28.25,294.84,0.0095
2026-03-01T10:00:00Z,cache,27.62,36.95,59.21,168.31,0.0044
2026-03-01T10:01:00Z,frontend,20.86,53.19,37.94,196.76,0.0066
2026-03-01T10:01:00Z,api_gateway,33.67,38.7,73.48,290.92,0.0078
2026-03-01T10:01:00Z,order_service,34.95,53.44,29.42,156.78,0.002
2026-03-01T10:01:00Z,inventory_service,29.72,40.43,66.44,192.14,0.0036
2026-03-01T10:01:00Z,payment_service,23.52,51.04,28.73,265.84,0.0099
2026-03-01T10:01:00Z,database,20.14,51.31,60.34,265.69,0.0073
2026-03-01T10:01:00Z,cache,28.96,37.32,68.16,199.63,0.0062
2026-03-01T10:02:00Z,frontend,27.77,41.5,61.48,283.08,0.0064
2026-03-01T10:02:00Z,api_gateway,22.99,49.26,63.04,265.65,0.0056
2026-03-01T10:02:00Z,order_service,33.07,43.55,26.27,154.71,0.0011
2026-03-01T10:02:00Z,inventory_service,27.86,45.17,70.38,211.56,0.0025
2026-03-01T10:02:00Z,payment_service,25.72,36.54,39.49,289.45,0.0016
2026-03-01T10:02:00Z,database,35.84,52.43,65.18,283.88,0.0019
2026-03-01T10:02:00Z,cache,40.19,52.92,40.9,184.19,0.0011
2026-03-01T10:03:00Z,frontend,40.45,52.21,25.35,212.61,0.0051
2026-03-01T10:03:00Z,api_gateway,23.0,41.75,72.15,227.82,0.0032
2026-03-01T10:03:00Z,order_service,29.09,54.44,73.12,224.59,0.0025
2026-03-01T10:03:00Z,inventory_service,27.12,35.74,55.48,157.72,0.005
2026-03-01T10:03:00Z,payment_service,42.71,39.79,32.24,297.85,0.0049
2026-03-01T10:03:00Z,database,36.8,50.23,36.88,205.17,0.0073
2026-03-01T10:03:00Z,cache,35.84,45.72,29.51,198.12,0.0084
2026-03-01T10:04:00Z,frontend,21.02,46.82,58.88,226.81,0.0002
2026-03-01T10:04:00Z,api_gateway,36.13,38.49,59.55,290.51,0.0039
2026-03-01T10:04:00Z,order_service,28.53,37.27,71.23,188.69,0.0088
2026-03-01T10:04:00Z,inventory_service,40.43,46.1,51.48,163.97,0.0024
2026-03-01T10:04:00Z,payment_service,42.51,47.66,41.95,258.89,0.0035
2026-03-01T10:04:00Z,database,42.18,50.6,57.1,174.24,0.0008
2026-03-01T10:04:00Z,cache,35.16,35.18,30.07,150.76,0.0066
2026-03-01T10:05:00Z,frontend,33.72,48.84,57.6,256.83,0.0022
2026-03-01T10:05:00Z,api_gateway,28.13,49.93,57.48,248.64,0.0085
2026-03-01T10:05:00Z,order_service,22.34,42.35,38.26,295.95,0.0024
2026-03-01T10:05:00Z,inventory_service,42.3,47.62,64.74,236.54,0.005
2026-03-01T10:05:00Z,payment_service,24.88,49.45,39.04,246.82,0.0002
2026-03-01T10:05:00Z,database,43.51,54.08,70.74,152.32,0.0037
2026-03-01T10:05:00Z,cache,30.7,54.33,73.18,194.17,0.0085
2026-03-01T10:06:00Z,frontend,41.28,41.34,33.47,290.42,0.0056
2026-03-01T10:06:00Z,api_gateway,34.25,36.94,55.75,171.01,0.0099
2026-03-01T10:06:00Z,order_service,41.93,49.82,59.85,203.92,0.007
2026-03-01T10:06:00Z,inventory_service,40.23,51.2,68.35,226.7,0.0091
2026-03-01T10:06:00Z,payment_service,39.96,48.0,60.1,283.5,0.008
2026-03-01T10:06:00Z,database,29.39,36.88,53.91,219.84,0.0004
2026-03-01T10:06:00Z,cache,27.16,46.82,26.53,273.39,0.0004
2026-03-01T10:07:00Z,frontend,23.18,45.44,63.5,243.43,0.0022
2026-03-01T10:07:00Z,api_gateway,21.29,45.63,52.03,258.91,0.0064
2026-03-01T10:07:00Z,order_service,32.91,41.46,64.76,215.85,0.0027
2026-03-01T10:07:00Z,inventory_service,20.63,54.25,66.8,211.34,0.007
2026-03-01T10:07:00Z,payment_service,23.91,40.0,52.46,249.03,0.0071
2026-03-01T10:07:00Z,database,43.87,49.76,52.72,212.94,0.0061
2026-03-01T10:07:00Z,cache,28.9,50.16,25.72,156.9,0.0012
2026-03-01T10:08:00Z,frontend,41.39,49.07,48.71,223.74,0.001
2026-03-01T10:08:00Z,api_gateway,24.33,43.68,44.93,245.26,0.0062
2026-03-01T10:08:00Z,order_service,29.37,47.52,50.16,248.8,0.0086
2026-03-01T10:08:00Z,inventory_service,21.76,47.85,26.33,291.03,0.0059
2026-03-01T10:08:00Z,payment_service,29.7,47.87,47.91,291.22,0.0055
2026-03-01T10:08:00Z,database,44.03,53.11,34.79,165.12,0.0007
2026-03-01T10:08:00Z,cache,22.36,48.66,28.56,276.73,0.0032
2026-03-01T10:09:00Z,frontend,40.36,40.64,30.91,244.34,0.007
2026-03-01T10:09:00Z,api_gateway,38.38,51.07,39.1,262.59,0.0018
2026-03-01T10:09:00Z,order_service,44.76,43.25,43.6,201.12,0.0078
2026-03-01T10:09:00Z,inventory_service,41.46,43.58,62.54,165.47,0.0075
2026-03-01T10:09:00Z,payment_service,32.63,51.53,41.0,208.38,0.009
2026-03-01T10:09:00Z,database,42.63,36.83,40.97,292.59,0.0095
2026-03-01T10:09:00Z,cache,35.8,43.97,39.66,250.88,0.0033
2026-03-01T10:10:00Z,frontend,39.79,50.79,29.56,158.63,0.0049
